Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
43,558,10.59038232,189,2088,1.140994669,1.114254931,0.758071895,1.099686354,0.041125918,0.050104104,0.006634507,0.060134535,0.590082282,Plague
44,1016,16.04816273,458,0,1.139309238,1.115407995,0.753795845,1.100417723,0.042073179,0.049554992,0.005509857,0.059526919,0.593464836,N/A
45,1303,14.38176004,629,342,1.144829579,1.115750225,0.750538355,1.099565022,0.04272605,0.050628554,0.004756557,0.060240658,0.596930599,N/A
46,1795,14.37771588,850,358,1.142972386,1.117623111,0.75222382,1.101857544,0.042568367,0.050995575,0.005183281,0.060568762,0.596002228,N/A
47,2506,14.48789572,1155,444,1.142540039,1.117591235,0.751836144,1.095118568,0.04333185,0.051353494,0.00509929,0.061913191,0.595032108,N/A
48,3397,14.30545579,1560,669,1.137270352,1.11369253,0.752939103,1.095630872,0.045245749,0.05121488,0.005480391,0.063475114,0.592627609,N/A
49,4635,14.51349874,2089,851,1.134557982,1.113084512,0.752857547,1.095919402,0.045945378,0.051521031,0.005620625,0.06351987,0.592154857,N/A
50,6334,14.53641722,2885,1186,1.130247853,1.111300285,0.753849773,1.09211251,0.047188871,0.051782783,0.005757195,0.064110825,0.589624223,N/A
51,1452,11.16260331,501,5383,1.122659949,1.098325952,0.756010269,1.087255929,0.047604723,0.051688341,0.005978294,0.066087265,0.583456242,Alien Invasion
52,2682,15.70960726,1230,0,1.120120831,1.097680109,0.753584535,1.0887603,0.047190249,0.052372051,0.005501526,0.065830423,0.585036995,N/A
53,3501,14.13373322,1704,885,1.11904536,1.093663569,0.753164466,1.087951199,0.047017762,0.051925079,0.005614068,0.066131524,0.584318614,N/A
54,4912,14.42911238,2299,888,1.115927605,1.091015109,0.751040823,1.088349317,0.046860974,0.052058767,0.005328941,0.065818246,0.585017827,N/A
55,6942,14.15806204,3292,1262,1.114829357,1.091413098,0.751367312,1.090749362,0.047144676,0.052517882,0.005287326,0.066375361,0.585065257,N/A
56,9672,14.03439826,4538,1808,1.114080956,1.092291627,0.752026456,1.090373795,0.047588541,0.052689632,0.00547314,0.067290173,0.584508936,N/A
57,494,13.69730094,853,10031,1.098255909,1.047471133,0.761046296,1.068135028,0.054834679,0.054580308,0.007357358,0.066118333,0.563060283,CRITICAL_OVERPOPULATION
58,634,13.2849632,304,164,1.100977434,1.042352763,0.762708242,1.071009947,0.054412984,0.054981864,0.008033451,0.063987694,0.561916946,N/A
59,905,14.56626151,397,126,1.096236207,1.033657715,0.757753889,1.065737797,0.054918104,0.05702092,0.007226074,0.064346432,0.562298967,N/A
60,1191,14.58415897,526,240,1.087642685,1.030947578,0.756241871,1.072908124,0.056610378,0.05675603,0.006889713,0.063771506,0.56269447,N/A
